datetime,FR_price,UK_price,UK_price_eur,spread_eur
2025-01-01 00:00:00,18.92,77.221,90.34857,71.42857
2025-01-01 01:00:00,16.66,70.001,81.90117000000001,65.24117000000001
2025-01-01 02:00:00,13.1,74.074,86.66658,73.56658
2025-01-01 03:00:00,5.9,78.937,92.35628999999999,86.45628999999998
2025-01-01 04:00:00,9.27,62.961,73.66436999999999,64.39437
2025-01-01 05:00:00,10.04,61.395,71.83215,61.79215
2025-01-01 06:00:00,7.23,74.794,87.50898,80.27897999999999
2025-01-01 07:00:00,12.83,67.727,79.24059,66.41059
2025-01-01 08:00:00,13.76,57.832,67.66344,53.903439999999996
2025-01-01 09:00:00,17.95,66.501,77.80617,59.85616999999999
2025-01-01 10:00:00,20.59,59.561,69.68637,49.09636999999999
2025-01-01 11:00:00,28.11,61.109,71.49753,43.38753
2025-01-01 12:00:00,30.0,68.689,80.36612999999998,50.366129999999984
2025-01-01 13:00:00,21.5,53.586,62.69561999999999,41.19561999999999
2025-01-01 14:00:00,10.68,57.308,67.05036,56.37036
2025-01-01 15:00:00,20.18,68.749,80.43632999999998,60.256329999999984
2025-01-01 16:00:00,35.72,67.063,78.46370999999999,42.74370999999999
2025-01-01 17:00:00,48.06,79.246,92.71781999999999,44.65781999999999
2025-01-01 18:00:00,50.14,70.575,82.57275,32.43275
2025-01-01 19:00:00,41.5,67.114,78.52338,37.02338
2025-01-01 20:00:00,34.93,90.138,105.46146,70.53146000000001
2025-01-01 21:00:00,34.69,76.033,88.95861,54.268609999999995
2025-01-01 22:00:00,28.04,77.272,90.40824,62.36824000000001
2025-01-01 23:00:00,39.84,63.768,74.60856,34.768559999999994
2025-01-02 00:00:00,44.1,68.892,80.60363999999998,36.50363999999998
2025-01-02 01:00:00,44.7,71.995,84.23415,39.53415
2025-01-02 02:00:00,42.92,59.684,69.83027999999999,26.910279999999986
2025-01-02 03:00:00,40.15,69.758,81.61685999999999,41.46685999999999
2025-01-02 04:00:00,52.51,60.029,70.23393,17.723930000000003
2025-01-02 05:00:00,93.3,60.935,71.29395,-22.006050000000002
2025-01-02 06:00:00,120.03,57.347,67.09599,-52.93401
2025-01-02 07:00:00,135.52,76.406,89.39502,-46.12498000000001
2025-01-02 08:00:00,136.48,61.479,71.93043,-64.54956999999999
2025-01-02 09:00:00,129.04,53.699,62.82782999999999,-66.21217
2025-01-02 10:00:00,125.7,69.849,81.72333,-43.97667
2025-01-02 11:00:00,125.72,55.068,64.42956,-61.290440000000004
2025-01-02 12:00:00,119.3,68.424,80.05608000000001,-39.24391999999999
2025-01-02 13:00:00,124.65,53.215,62.26155,-62.388450000000006
2025-01-02 14:00:00,130.11,60.482,70.76393999999999,-59.34606000000002
2025-01-02 15:00:00,139.5,74.822,87.54174,-51.958259999999996
2025-01-02 16:00:00,153.4,81.073,94.85540999999999,-58.544590000000014
2025-01-02 17:00:00,153.15,78.103,91.38050999999999,-61.76949000000002
2025-01-02 18:00:00,146.66,76.914,89.98938,-56.67062
2025-01-02 19:00:00,130.6,76.004,88.92468,-41.67532
2025-01-02 20:00:00,120.62,66.585,77.90444999999998,-42.71555000000002
2025-01-02 21:00:00,117.89,72.081,84.33476999999999,-33.55523000000001
2025-01-02 22:00:00,118.56,73.047,85.46498999999999,-33.095010000000016
2025-01-02 23:00:00,103.88,83.622,97.83774,-6.042259999999999
2025-01-03 00:00:00,95.18,75.996,88.91532,-6.264680000000013
2025-01-03 01:00:00,89.94,57.003,66.69350999999999,-23.24649000000001
2025-01-03 02:00:00,87.67,71.485,83.63745,-4.0325500000000005
2025-01-03 03:00:00,84.06,63.672,74.49623999999999,-9.563760000000016
2025-01-03 04:00:00,92.25,59.419,69.52023,-22.729770000000002
2025-01-03 05:00:00,100.14,68.162,79.74954,-20.390460000000004
2025-01-03 06:00:00,119.27,70.409,82.37853,-36.89147
2025-01-03 07:00:00,127.28,69.038,80.77445999999999,-46.50554000000001
2025-01-03 08:00:00,132.97,54.874,64.20258,-68.76742
2025-01-03 09:00:00,130.52,59.687,69.83379,-60.68621000000002
2025-01-03 10:00:00,123.2,65.918,77.12406,-46.07594
2025-01-03 11:00:00,113.51,72.639,84.98763,-28.52237000000001
2025-01-03 12:00:00,107.6,62.919,73.61523,-33.98477
2025-01-03 13:00:00,105.88,67.407,78.86618999999999,-27.013810000000007
2025-01-03 14:00:00,110.22,62.257,72.84069,-37.379310000000004
2025-01-03 15:00:00,123.2,63.678,74.50326,-48.696740000000005
2025-01-03 16:00:00,141.2,81.666,95.54921999999999,-45.65078
2025-01-03 17:00:00,144.48,87.582,102.47093999999998,-42.009060000000005
2025-01-03 18:00:00,141.43,77.263,90.39771,-51.03229
2025-01-03 19:00:00,133.2,86.441,101.13597,-32.06402999999999
2025-01-03 20:00:00,119.9,81.306,95.12801999999999,-24.771980000000013
2025-01-03 21:00:00,123.58,72.678,85.03326,-38.54674
2025-01-03 22:00:00,126.09,79.623,93.15891,-32.93109
2025-01-03 23:00:00,109.06,87.47,102.33989999999999,-6.720100000000016
2025-01-04 00:00:00,101.0,69.961,81.85436999999999,-19.14563000000001
2025-01-04 01:00:00,95.53,80.625,94.33125,-1.198750000000004
2025-01-04 02:00:00,94.33,44.934,52.572779999999995,-41.757220000000004
2025-01-04 03:00:00,96.62,70.328,82.28376,-14.336240000000004
2025-01-04 04:00:00,102.63,62.531,73.16126999999999,-29.468730000000008
2025-01-04 05:00:00,110.89,57.876,67.71491999999999,-43.17508000000001
2025-01-04 06:00:00,120.25,59.895,70.07715,-50.17285
2025-01-04 07:00:00,128.39,42.687,49.94378999999999,-78.44621
2025-01-04 08:00:00,130.75,56.83,66.49109999999999,-64.25890000000001
2025-01-04 09:00:00,130.34,62.018,72.56106,-57.778940000000006
2025-01-04 10:00:00,128.29,72.091,84.34646999999998,-43.94353000000001
2025-01-04 11:00:00,130.03,57.688,67.49495999999999,-62.53504000000001
2025-01-04 12:00:00,129.85,57.285,67.02345,-62.82655
2025-01-04 13:00:00,136.4,61.878,72.39726,-64.00274
2025-01-04 14:00:00,138.89,75.431,88.25426999999999,-50.635729999999995
2025-01-04 15:00:00,133.52,72.877,85.26608999999999,-48.25391000000002
2025-01-04 16:00:00,136.78,67.927,79.47459,-57.305409999999995
2025-01-04 17:00:00,145.0,77.838,91.07045999999998,-53.92954000000002
2025-01-04 18:00:00,139.73,75.616,88.47072,-51.25927999999999
2025-01-04 19:00:00,130.49,83.162,97.29954000000001,-33.19046
2025-01-04 20:00:00,123.82,69.796,81.66132,-42.15867999999999
2025-01-04 21:00:00,119.23,72.218,84.49506,-34.73494000000001
2025-01-04 22:00:00,109.9,70.595,82.59615,-27.30385000000001
2025-01-04 23:00:00,101.77,60.457,70.73469,-31.035309999999996
2025-01-05 00:00:00,70.5,72.616,84.96072,14.460719999999995
2025-01-05 01:00:00,64.81,70.196,82.12931999999999,17.31931999999999
